licensed_company_name,source_county,job_count,median_job_value,median_forest_point_estimate,median_comp_median,median_recommended_band_low,median_recommended_band_high,first_seen,last_seen
4424 N 142 ST,douglas,2,4000.0,5290.341075118409,8197.5,2051.28325,12669.215499999998,2026-02-03,2026-04-14
APOLLO RESTORATION,douglas,2,3250.0,5761.959096825492,10129.5,2172.103,15450.0,2026-01-14,2026-02-20
MIDWEST HOMES,douglas,1,150000.0,56938.84333945389,24000.0,12617.8,40873.39999999998,2025-12-30,2025-12-30
RICH POISEL'S ROOFING LLC,douglas,1,92897.47,58051.78456575626,23729.0,12141.2865,73138.04999999999,2026-01-12,2026-01-12
TC ROOFING,douglas,1,45550.0,50483.4200837902,33421.19,8754.228500000001,53650.289,2026-03-25,2026-03-25
"1-800-HANSONS, LLC",douglas,1,34004.0,20943.641116020208,14150.15,7773.0,30539.749999999996,2026-01-07,2026-01-07
N2 EXTERIORS LLC,douglas,1,30000.0,17225.70802582356,6500.0,4815.6575,27034.799999999996,2026-02-10,2026-02-10
ONYX DESIGN & BUILD,douglas,1,29000.0,20840.515317810627,13140.560000000001,7505.7885,21097.480499999994,2025-11-03,2025-11-03
NATHAN JAMES CONSTRUCTION INC.,douglas,1,26750.0,12568.213464753771,9092.555,2430.0,28565.14999999999,2026-03-04,2026-03-04
CARP'S EXTERIOR INC,douglas,1,25536.1,21206.413284918846,13953.439999999999,9043.75,24799.999999999996,2026-03-19,2026-03-19
GIANT ROCKS CONSTRUCTION,douglas,1,25000.0,12869.72293627558,7525.0,500.0,17544.299999999996,2026-03-19,2026-03-19
J.C. WALSH HOME IMPROVEMENTS,douglas,1,25000.0,16953.325614118374,13400.15,7841.25,26893.61299999999,2026-03-27,2026-03-27
ONE T CONSTRUCTION,douglas,1,24410.0,15572.576725156641,8707.735,5318.6025,30735.12849999999,2026-02-23,2026-02-23
A&B ROOFING CONSTRUCTION LLC,douglas,1,24000.0,24390.321161606596,17500.0,10650.0,40873.39999999998,2026-02-12,2026-02-12
Swing coast,douglas,1,24000.0,27955.9412990369,15157.5,10531.271499999999,40873.39999999998,2026-03-23,2026-03-23
FRC CONSTRUCTION,douglas,1,22538.0,19295.15082855639,12422.119999999999,8100.0,23879.6105,2025-11-20,2025-11-20
